Schulname;Dienststellenschlüssel;school_type1;school_type2;school_type3;school_type4;school_type5;school_type6;Partner;Aktivitaet;Type_narrow;Type_broad
"Förderschulzentrum Oberes Osterzgebirge """örderschulzentrum "Obe""rde"""örderschulzentrum Oberes Oster";SN-4320230;Schule für geistig Behinderte;Schule zur Lernförderung;Schule für Erziehungshilfe;;;;Jugendamt des Landkreises Sächsische Schweiz - Osterzgebirge;Keine Angabe;Amt;Öffentliche Infrastruktur
"Förderschulzentrum Oberes Vogtland """örderschulzentrum"""örderschulzentrum Ob";SN-4520342;Schule für geistig Behinderte;Schule zur Lernförderung;Klinik- und Krankenhausschule;;;;Gesundheitsamt des Vogtlandkreises;Keine Angabe;Amt;Öffentliche Infrastruktur
Förderschulzentrum Annaberg;SN-4220372;Schule zur Lernförderung;Sprachheilschule;;;;;Jugendämter;Keine Angabe;Amt;Öffentliche Infrastruktur
Förderschulzentrum Flöha;SN-4220398;Schule zur Lernförderung;Sprachheilschule;;;;;Jugendamt Landkreis Mittelsachsen;Keine Angabe;Amt;Öffentliche Infrastruktur
"Förderzentrum Prof. Dr. Rainer Fetscher ", Schule für Körperbehinderte""örderzentrum "Prof. Dr. Rainer Fetscher ", Schule für Kö""rderzentrum "Prof. Dr. Rainer Fetscher ", ""derzentrum "Prof. Dr. Rainer ""erzentrum "Prof. ""rzentr"""örderzentrum Prof. Dr. Rainer Fetscher ", Schule für Körperbehinderte""örderzentrum "Prof. Dr. Rainer Fetscher ", Schule für Kö""rderzentrum "Prof. Dr. Rainer Fetscher ", ""derzentrum "Prof.""rderzentrum Prof. Dr. Rainer Fetscher ", Schule für Körperbehinderte""örderzentrum "Prof. Dr. Rainer Fetscher ", Schule für Kö""rderzentrum "Prof. Dr.""derzentrum Prof. Dr. Rainer Fetscher ", Schule für Körperbehinderte""örderzentrum "Prof. Dr. Rainer Fetscher ",""erzentrum Prof. Dr. Rainer Fetscher ", Schule für Körperbehinderte""örder""rzentrum Prof. Dr. Rainer Fetscher """";SN-4320081;Schule für Körperbehinderte;;;;;;Gesundheitsamt der Stadt Dresden;Keine Angabe;Amt;Öffentliche Infrastruktur
"Förderzentrum Prof. Dr. Rainer Fetscher ", Schule für Körperbehinderte""örderzentrum "Prof. Dr. Rainer Fetscher ", Schule für Kö""rderzentrum "Prof. Dr. Rainer Fetscher ", ""derzentrum "Prof. Dr. Rainer ""erzentrum "Prof. ""rzentr"""örderzentrum Prof. Dr. Rainer Fetscher ", Schule für Körperbehinderte""örderzentrum "Prof. Dr. Rainer Fetscher ", Schule für Kö""rderzentrum "Prof. Dr. Rainer Fetscher ", ""derzentrum "Prof.""rderzentrum Prof. Dr. Rainer Fetscher ", Schule für Körperbehinderte""örderzentrum "Prof. Dr. Rainer Fetscher ", Schule für Kö""rderzentrum "Prof. Dr.""derzentrum Prof. Dr. Rainer Fetscher ", Schule für Körperbehinderte""örderzentrum "Prof. Dr. Rainer Fetscher ",""erzentrum Prof. Dr. Rainer Fetscher ", Schule für Körperbehinderte""örder""rzentrum Prof. Dr. Rainer Fetscher """";SN-4320081;Schule für Körperbehinderte;;;;;;Staatliches Seminar für das Lehramt an Grund- und Förderschulen;Keine Angabe;Amt;Öffentliche Infrastruktur
Förderzentrum für Erziehungshilfe Leipzig;SN-4420329;Schule für Erziehungshilfe;;;;;;Jugendamt;Keine Angabe;Amt;Öffentliche Infrastruktur
Frédéric-Joliot-Curie-Grundschule Bautzen;SN-4110748;Grundschule;;;;;;Landratsamt Bautzen Kreisjugendamt;Keine Angabe;Amt;Öffentliche Infrastruktur
Friedensschule Plauen - Oberschule;SN-4530366;Mittelschule;;;;;;Gesundheitsamt;Keine Angabe;Amt;Öffentliche Infrastruktur
Friedensschule Plauen - Oberschule;SN-4530366;Mittelschule;;;;;;Jugendamt;Keine Angabe;Amt;Öffentliche Infrastruktur
Friedrich-Fröbel-Schule, Schule zur Lernförderung;SN-4120325;Schule zur Lernförderung;;;;;;Jugendamt Zittau LRA;Keine Angabe;Amt;Öffentliche Infrastruktur
Gellert-Grundschule Wölkau;SN-4411112;Grundschule;;;;;;Jugendamt Nordsachsen;Keine Angabe;Amt;Öffentliche Infrastruktur
Georg-Schumann-Schule - Oberschule des Deutsch-Französischen Bildungszentrums der Stadt Leipzig;SN-4431110;Mittelschule;;;;;;Jugendamt;Keine Angabe;Amt;Öffentliche Infrastruktur
Gerhart-Hauptmann-Schule Sohland, Oberschule;SN-4130894;Mittelschule;;;;;;Jugendamt Bautzen;Keine Angabe;Amt;Öffentliche Infrastruktur
Gerhart-Hauptmann-Schule, Oberschule;SN-4531034;Mittelschule;;;;;;Jugendamt;Beratungen zur individuellen Förderung von SchülernMaßnahmen gegen Kindeswohlgefährdung;Amt;Öffentliche Infrastruktur
Geschwister-Scholl-Oberschule Schönheide;SN-4231718;Mittelschule;;;;;;AWO Kinder- und Jugendhilfe gGmbH;Keine Angabe;Amt;Öffentliche Infrastruktur
Geschwister-Scholl-Oberschule Schönheide;SN-4231718;Mittelschule;;;;;;Jugendamt Aue;Keine Angabe;Amt;Öffentliche Infrastruktur
Goethe-Gymnasium;SN-4540142;Gymnasium;;;;;;Landratsamt Vogtlandkreis;StudienorientierungSchülerverkehr;Amt;Öffentliche Infrastruktur
Gottlieb-Daimler-Oberschule Bautzen;SN-4130514;Mittelschule;;;;;;Amts- und Landgericht Bautzen;Unterstützung im Fach Gemeinschaftskunde Klasse 9;Amt;Öffentliche Infrastruktur
"Grundschule Am Wartberg """rundschule "A""u"""rundschule Am Wartb";SN-4510517;Grundschule;;;;;;Jugendhilfe Plauen;Keine Angabe;Amt;Öffentliche Infrastruktur
"Grundschule Am Wartberg """rundschule "A""u"""rundschule Am Wartb";SN-4510517;Grundschule;;;;;;Stadt Plauen/Jugendhilfe/Hort Am Wartberg;Keine Angabe;Amt;Öffentliche Infrastruktur
"Grundschule Auf der Höhe " Neusornzig""rundschule "Auf der Höhe ""undschule "Au""nd"""rundschule Auf der Höhe " Neusornzig""rundschule "Auf der ""undschule Auf der Höhe " Neusornz""ndschule ";SN-4411708;Grundschule;;;;;;Jugendamt Landkreis Nordsachsen;Keine Angabe;Amt;Öffentliche Infrastruktur
"Grundschule Frederic Joliot-Curie " Pegau""rundschule "Frederic Joliot-C""undschule "Freder""ndschu"""rundschule Frederic Joliot-Curie " Pegau""rundschule "Frederic Jo""undschule Frederic Joliot-Curie";SN-4410551;Grundschule;;;;;;Landratsamt Borna;Keine Angabe;Amt;Öffentliche Infrastruktur
"Grundschule Friedrich Schiller """rundschule "Friedric""undschul"""rundschule Friedrich Schiller """""un";SN-4112017;Grundschule;;;;;;Förderverein der Grundschule - anerkannter Träger der freien Jugendhilfe;Keine Angabe;Amt;Öffentliche Infrastruktur
"Grundschule Gottfried Silbermann """rundschule "Gottfried ""undschule """rundschule Gottfried Silbermann """ru""unds";SN-4210159;Grundschule;;;;;;Jugendamt Freiberg;Kontaktaufnahme bei Problemfällen;Amt;Öffentliche Infrastruktur
"Grundschule Gotthold Ephraim Lessing " Pirna""rundschule "Gotthold Ephraim Les""undschule "Gotthold ""ndschule """rundschule Gotthold Ephraim Lessing " Pirna""rundschule "Gotthold Ephraim ""undschule Gotthold Ephraim Lessing " ""n";SN-4312369;Grundschule;;;;;;Landratsamt \Sächsische Schweiz\ Fachabteilung Jugend und Soziales;Keine Angabe;Amt;Öffentliche Infrastruktur
"Grundschule Nils Holgersson " Großlehna""rundschule "Nils Holgersson""undschule "Nils""ndsc"""rundschule Nils Holgersson " Großlehna""rundschule "Nils Holger""undschule Nils Holgersson " Großleh""ndschule";SN-4410338;Grundschule;;;;;;Kommunaler Eigenbetrieb Kultuseinrichtungen des Landkreises Leipziger Land;Keine Angabe;Amt;Öffentliche Infrastruktur
"Grundschule Wilhelm Ostwald " Grimma""rundschule "Wilhelm Ostw""undschule "W""n"""rundschule Wilhelm Ostwald " Grimma""rundschule "Wi""undschule Wilhelm Ostwa";SN-4411369;Grundschule;;;;;;Gesundheitsamt;Keine Angabe;Amt;Öffentliche Infrastruktur
Grundschule Arzberg;SN-4410726;Grundschule;;;;;;Evang. Kirchenamt;Keine Angabe;Amt;Öffentliche Infrastruktur
Grundschule Bannewitz;SN-4310876;Grundschule;;;;;;Jugend- und Sozialamt des Weißeritzkreises;Keine Angabe;Amt;Öffentliche Infrastruktur
Grundschule Bernsdorf;SN-4110425;Grundschule;;;;;;LRA Bautzen - Jugendamt;KindeswohlElternhilfe;Amt;Öffentliche Infrastruktur
Grundschule Boxberg;SN-4110433;Grundschule;;;;;;Jugendhilfeagentur;Beratung in Konfliktsituationen;Amt;Öffentliche Infrastruktur
Grundschule Colditz;SN-4412532;Grundschule;;;;;;Jugendamt Grimma;Keine Angabe;Amt;Öffentliche Infrastruktur
Grundschule Crottendorf;SN-4212163;Grundschule;;;;;;Jugendhilfe Kreis Annaberg;Keine Angabe;Amt;Öffentliche Infrastruktur
Grundschule Dippoldiswalde;SN-4310918;Grundschule;;;;;;Jugendamt;Keine Angabe;Amt;Öffentliche Infrastruktur
Grundschule Fürst Pückler Bad Muskau;SN-4110417;Grundschule;;;;;;Jugendhilfeagentur Bad Muskau;Keine Angabe;Amt;Öffentliche Infrastruktur
Grundschule Glashütte;SN-4311031;Grundschule;;;;;;Jugendamt;Keine Angabe;Amt;Öffentliche Infrastruktur
Grundschule Hirschfelde/Ostritz;SN-4111738;Grundschule;;;;;;Einrichtungen der Jugendhilfe;Keine Angabe;Amt;Öffentliche Infrastruktur
Grundschule Innenstadt am Fischmarkt;SN-4110177;Grundschule;;;;;;Jugendhilfe der Stadt Görlitz;Keine Angabe;Amt;Öffentliche Infrastruktur
Grundschule Kittlitz;SN-4111761;Grundschule;;;;;;Jugendhilfe;Keine Angabe;Amt;Öffentliche Infrastruktur
Grundschule Kleindehsa;SN-4111779;Grundschule;;;;;;Jugendamt des LRA Görlitz;Keine Angabe;Amt;Öffentliche Infrastruktur
Grundschule Niederlößnitz;SN-4311262;Grundschule;;;;;;Kooperation mit dem Amt Schule und Bildung der Stadt Radebeul;Ausgestaltung des Schullebens;Amt;Öffentliche Infrastruktur
Grundschule Nordwest Torgau;SN-4411047;Grundschule;;;;;;Landratsamt Jugendhilfe;Keine Angabe;Amt;Öffentliche Infrastruktur
Grundschule Oberottendorf;SN-4311486;Grundschule;;;;;;Jugendamt Pirna;Keine Angabe;Amt;Öffentliche Infrastruktur
Grundschule Oelsa;SN-4311171;Grundschule;;;;;;Jugendamt im Landratsamt Weißeritzkreis# Weißeritzstraße 7#01744 Dippoldiswalde#;Keine Angabe;Amt;Öffentliche Infrastruktur
Grundschule Oelsa;SN-4311171;Grundschule;;;;;;Jugendamt im Landratsamt Weißeritzkreis# Weißeritzstraße 7#01744 Dippoldiswalde#;Amt;Öffentliche Infrastruktur;Öffentliche Infrastruktur
Grundschule Ohorn;SN-4111241;Grundschule;;;;;;Jugendamt Kamenz;Unterstützung bei familiären Problemen;Amt;Öffentliche Infrastruktur
Grundschule Ottendorf-Okrilla;SN-4110078;Grundschule;;;;;;Jugendhilfe;Keine Angabe;Amt;Öffentliche Infrastruktur
Grundschule Papstdorf;SN-4311577;Grundschule;;;;;;Nationalparkverwaltung Bad Schandau;Arbeitsgemeinschaft Junior Ranger;Amt;Öffentliche Infrastruktur
Grundschule Radeberg-Stadtmitte;SN-4110094;Grundschule;;;;;;Jugendamt Kamenz;Keine Angabe;Amt;Öffentliche Infrastruktur
"Grundschule Remse Thomas Müntzer """rundschule Remse"""rundschule Remse Th";SN-4511911;Grundschule;;;;;;Jugendamt LK Zwickau;Keine Angabe;Amt;Öffentliche Infrastruktur
Grundschule Rötha;SN-4410585;Grundschule;;;;;;Landratsamt Leipziger Land Jugendhilfe;ElternarbeitIntegration von Schülern mit sonderpädagogischem Förderbedarf;Amt;Öffentliche Infrastruktur
Grundschule Schönteichen;SN-4110847;Grundschule;;;;;;Jugendamt Kamenz;Keine Angabe;Amt;Öffentliche Infrastruktur
Gutenbergschule, Schule zur Lernförderung;SN-4120119;Schule zur Lernförderung;;;;;;Jugendhilfeagenturen des Landkreises Görlitz;Keine Angabe;Amt;Öffentliche Infrastruktur
Gutenbergschule, Schule zur Lernförderung;SN-4120119;Schule zur Lernförderung;;;;;;JHA Reichenbach und Rothenburg;Keine Angabe;Amt;Öffentliche Infrastruktur
Gymnasium Dresden-Cotta;SN-4340097;Gymnasium;;;;;;Abfallamt der Stadt Dresden;Keine Angabe;Amt;Öffentliche Infrastruktur
Gymnasium Marienberg;SN-4240271;Gymnasium;;;;;;Jugend- und Sozialamt Marienberg;Keine Angabe;Amt;Öffentliche Infrastruktur
Gymnasium Olbernhau;SN-4240321;Gymnasium;;;;;;Jugendhilfe des Landkreises;Sozialkompetenz der Schüler fördern;Amt;Öffentliche Infrastruktur
Hans-Erlwein-Gymnasium Dresden;SN-4340105;Gymnasium;;;;;;Jugendamt;Keine Angabe;Amt;Öffentliche Infrastruktur
Hans-Fallada-Schule, Schule für Erziehungshilfe;SN-4120184;Schule für Erziehungshilfe;;;;;;Gesundheitsamt;Keine Angabe;Amt;Öffentliche Infrastruktur
Hans-Kroch-Schule - Grundschule der Stadt Leipzig;SN-4412193;Grundschule;;;;;;Jugendamt Nord Georg-Schumann-Str. 357;Keine Angabe;Amt;Öffentliche Infrastruktur
Heinrich-von-Kleist-Schule Grundschule;SN-4511804;Grundschule;;;;;;Jugendamt;Keine Angabe;Amt;Öffentliche Infrastruktur
Jahn-Grundschule;SN-4111613;Grundschule;;;;;;Gesundheitsamt;Keine Angabe;Amt;Öffentliche Infrastruktur
Jakobus-Oberschule;SN-4530739;Mittelschule;;;;;;Jugendhilfe;Keine Angabe;Amt;Öffentliche Infrastruktur
Johann-Heinrich-Pestalozzi-Schule - Schule zur Lernförderung der Stadt Leipzig;SN-4420360;Schule zur Lernförderung;;;;;;Sächsisches Bildungsinstitut;Keine Angabe;Amt;Öffentliche Infrastruktur
Julius-Mißbach-Grundschule Neustadt;SN-4311569;Grundschule;;;;;;Jugend- und Sozialamt Sächsische Schweiz;Zusammenarbeit mit der für unseren Bereich zuständigen Jugendamtmitarbeiterin;Amt;Öffentliche Infrastruktur
Julius-Mosen-Gymnasium;SN-4540100;Gymnasium;;;;;;LRA Vogtlandkreis / Jugendamt;Keine Angabe;Amt;Öffentliche Infrastruktur
Karl-May-Grundschule;SN-4511796;Grundschule;;;;;;Jugendamt Landkreis Zwickau;Keine Angabe;Amt;Öffentliche Infrastruktur
Karl-Theodor-Golle-Schule Syrau, Schule für geistig Behinderte;SN-4520128;Schule für geistig Behinderte;;;;;;Jugendamt und Sozialamt Plauen/Vogtlandkreis;Keine Angabe;Amt;Öffentliche Infrastruktur
Käthe-Kollwitz-Gymnasium;SN-4540217;Gymnasium;;;;;;Amtsgericht Zwickau;Keine Angabe;Amt;Öffentliche Infrastruktur
Kemmlerschule, Oberschule;SN-4530333;Mittelschule;;;;;;Landratsamt Vogtlandkreis;Keine Angabe;Amt;Öffentliche Infrastruktur
Leibniz-Grundschule Schkeuditz;SN-4410635;Grundschule;;;;;;Jugendamt Delitzsch;Keine Angabe;Amt;Öffentliche Infrastruktur
Leibnizschule - Gymnasium der Stadt Leipzig;SN-4440350;Gymnasium;;;;;;Gesundheitsamt Leipzig;Keine Angabe;Amt;Öffentliche Infrastruktur
Leon-Foucault-Gymnasium Hoyerswerda;SN-4140158;Gymnasium;;;;;;Jugendhilfe der Stadt Hoyerswerda;Keine Angabe;Amt;Öffentliche Infrastruktur
Marie-Curie-Grundschule Dohna;SN-4311395;Grundschule;;;;;;Jugendamt Pirna;Keine Angabe;Amt;Öffentliche Infrastruktur
Marie-Curie-Gymnasium Dresden;SN-4340246;Gymnasium;;;;;;Jugend- und Gesundheitsamt;Keine Angabe;Amt;Öffentliche Infrastruktur
Marie-Curie-Gymnasium Dresden;SN-4340246;Gymnasium;;;;;;Landeskomitee Sachsens zur Förderung mathematisch - naturwissenschaftlich begabter und interessierter Schüler;Keine Angabe;Amt;Öffentliche Infrastruktur
Marienschule Treuen-Oberschule;SN-4530374;Mittelschule;;;;;;Jugendamt Vogtlandkreis;Keine Angabe;Amt;Öffentliche Infrastruktur
Matthes-Enderlein-Gymnasium;SN-4240396;Gymnasium;;;;;;Amt für Jugendhilfe;Keine Angabe;Amt;Öffentliche Infrastruktur
Nikolaischule Görlitz;SN-4110185;Grundschule;;;;;;Unsere Schule unterhält keine Kooperationsbeziehung mit Einrichtungen der Jugendhilfe#;Keine Angabe;Amt;Öffentliche Infrastruktur
Oberland-Gymnasium Seifhennersdorf;SN-4140224;Gymnasium;;;;;;LRA Görlitz;in allen Bereichen der Schulträgerschaft;Amt;Öffentliche Infrastruktur
"Oberschule Am Knöchel " Sebnitz""berschule "Am Knöche""erschule """berschule Am Knöchel " Sebnitz""berschule ""erschule Am Knöchel ";SN-4331112;Mittelschule;;;;;;Jugendamt;Keine Angabe;Amt;Öffentliche Infrastruktur
"Oberschule Am Planetarium """berschule "Am Pl""ersch"""berschule Am Planetarium """";SN-4130340;Mittelschule;;;;;;Gesundheitsamt Hoyerswerda;Keine Angabe;Amt;Öffentliche Infrastruktur
"Oberschule Am Sportzentrum " Riesa""berschule "Am Sportzent""erschule "Am""rs"""berschule Am Sportzentrum " Riesa""berschule "Am S""erschule Am Sportzentru";SN-4331351;Mittelschule;;;;;;Jugendamt;Beratung und Unterstützung;Amt;Öffentliche Infrastruktur
"Oberschule Anne Frank " Stauchitz""berschule "Anne Frank ""erschule "A""r"""berschule Anne Frank " Stauchitz""berschule "Anne F""erschule Anne Frank " Stauchi""rschule ";SN-4331419;Mittelschule;;;;;;Jugendamt Riesa;Keine Angabe;Amt;Öffentliche Infrastruktur
"Oberschule Carl Friedrich Gauß """berschule "Carl Fried""erschule """"""berschule Carl Friedrich Gauß """bersc""erschul";SN-4331088;Mittelschule;;;;;;Jugendamt beim Landratsamt;Keine Angabe;Amt;Öffentliche Infrastruktur
"Oberschule Clara Zetkin """berschule "Cla""ers"""berschule Clara Zetkin";SN-4230058;Mittelschule;;;;;;Jugendamt des Landratsamtes;Keine Angabe;Amt;Öffentliche Infrastruktur
"Oberschule Dr. Marja Grollmuß """berschule "Dr. Marja""erschule """berschule Dr. Marja Grollmuß """be""ersc";SN-4130449;Mittelschule;;;;;;Jugendhilfeagentur-Bad Muskau;Sprechstunden in der SchuleProjektbetreuung;Amt;Öffentliche Infrastruktur
"Oberschule Johann Wolfgang von Goethe """berschule "Johann Wolfgang v""erschule "Johann ""rschule"""berschule Johann Wolfgang von Goethe """berschule "Johann W""erschule Johann Wolfg";SN-4331492;Mittelschule;;;;;;Jugendamt des Landratsamtes;Unterstützung und Beratung;Amt;Öffentliche Infrastruktur
"Oberschule Moritz Zimmermann " Rothenburg""berschule "Moritz Zimmermann """erschule "Moritz Zi""rschule """"""berschule Moritz Zimmermann " Rothenburg""berschule "Moritz Zimmermann """ersc""erschule Moritz Zimmermann " Rothenburg""berschul""rschule Moritz Zimmer";SN-4130258;Mittelschule;;;;;;Jugendhilfeagentur Rothenburg in Trägerschaft des Martinshof;Keine Angabe;Amt;Öffentliche Infrastruktur
Oberschule Altendorf;SN-4230389;Mittelschule;;;;;;Jugendamt;Keine Angabe;Amt;Öffentliche Infrastruktur
Oberschule am Burgteich Zittau, UNESCO-Projekt-Schule;SN-4131181;Mittelschule;;;;;;Amtsgericht Zittau;Keine Angabe;Amt;Öffentliche Infrastruktur
Oberschule Bannewitz;SN-4330585;Mittelschule;;;;;;Jugendamt;Keine Angabe;Amt;Öffentliche Infrastruktur
Oberschule Beilrode;SN-4430344;Mittelschule;;;;;;Forstamt Falkenstruth;Keine Angabe;Amt;Öffentliche Infrastruktur
Oberschule Brandis;SN-4430617;Mittelschule;;;;;;Gesundheitsamt Grimma;Keine Angabe;Amt;Öffentliche Infrastruktur
Oberschule Brandis;SN-4430617;Mittelschule;;;;;;Jugendamt Borna;Keine Angabe;Amt;Öffentliche Infrastruktur
Oberschule Cossebaude;SN-4330619;Mittelschule;;;;;;Jugendamt Cotta;Keine Angabe;Amt;Öffentliche Infrastruktur
Oberschule Delitzsch-Nord;SN-4430377;Mittelschule;;;;;;Jugendamt;Keine Angabe;Amt;Öffentliche Infrastruktur
Oberschule Dippoldiswalde;SN-4330627;Mittelschule;;;;;;Jugendamt;Keine Angabe;Amt;Öffentliche Infrastruktur
Oberschule Dippoldiswalde;SN-4330627;Mittelschule;;;;;;Landratsamt;Keine Angabe;Amt;Öffentliche Infrastruktur
Oberschule Ebersbach;SN-4331161;Mittelschule;;;;;;LRA Riesa-GRH Dezernat III Kreijugendamt;Keine Angabe;Amt;Öffentliche Infrastruktur
Oberschule Ebersbach;SN-4331161;Mittelschule;;;;;;Sächsische Arbeitsstelle für Schule und Jugenhilfe;Keine Angabe;Amt;Öffentliche Infrastruktur
Oberschule Elstra;SN-4130639;Mittelschule;;;;;;Mitarbeiter des Jugendamtes;Keine Angabe;Amt;Öffentliche Infrastruktur
Oberschule Flöha-Plaue;SN-4231213;Mittelschule;;;;;;Amtsgericht Mittelsachsen;Besuch von Gerichtsverhandlungen;Amt;Öffentliche Infrastruktur
Oberschule Flöha-Plaue;SN-4231213;Mittelschule;;;;;;Amtsgericht Freiberg;Keine Angabe;Amt;Öffentliche Infrastruktur
Oberschule Grimma;SN-4430724;Mittelschule;;;;;;Jugendamt MTL Grimma;Keine Angabe;Amt;Öffentliche Infrastruktur
Oberschule Halsbrücke;SN-4230116;Mittelschule;;;;;;Jugendamt;Keine Angabe;Amt;Öffentliche Infrastruktur
Oberschule Klingenberg;SN-4330726;Mittelschule;;;;;;Jugendamt Dippoldiswalde;Keine Angabe;Amt;Öffentliche Infrastruktur
Oberschule Krostitz;SN-4430484;Mittelschule;;;;;;Jugendhilfe Delitzsch;Keine Angabe;Amt;Öffentliche Infrastruktur
Oberschule Krostitz;SN-4430484;Mittelschule;;;;;;Jugendamt Delitzsch/Gemeinde Krostitz;Keine Angabe;Amt;Öffentliche Infrastruktur
Oberschule Leubnitz;SN-4530705;Mittelschule;;;;;;Jugendamt Zwickau;Keine Angabe;Amt;Öffentliche Infrastruktur
Oberschule Malschwitz;SN-4130779;Mittelschule;;;;;;Abt. Jugendhilfe im Landratsamt Bautzen;Keine Angabe;Amt;Öffentliche Infrastruktur
Oberschule Neukirchen;SN-4230827;Mittelschule;;;;;;Landratsamt Stollberg;Keine Angabe;Amt;Öffentliche Infrastruktur
Oberschule Nordwest Torgau;SN-4430542;Mittelschule;;;;;;Jugendamt/ KSB;Keine Angabe;Amt;Öffentliche Infrastruktur
Oberschule Nordwest Torgau;SN-4430542;Mittelschule;;;;;;Landratsamt Nordsachsen;Keine Angabe;Amt;Öffentliche Infrastruktur
Oberschule Nordwest Torgau;SN-4430542;Mittelschule;;;;;;Landratsamt Torgau/Oschatz;Keine Angabe;Amt;Öffentliche Infrastruktur
Oberschule Nordwest Torgau;SN-4430542;Mittelschule;;;;;;Gesundheitsamt;Keine Angabe;Amt;Öffentliche Infrastruktur
Oberschule Nünchritz;SN-4331310;Mittelschule;;;;;;Jugendhilfe;Keine Angabe;Amt;Öffentliche Infrastruktur
Oberschule Oelsnitz;SN-4530945;Mittelschule;;;;;;Buchhandlung#Theater Plauen#Landratsamt und Amt für Wirtschaft und Bildung des Vogtlandkreises#;Keine Angabe;Amt;Öffentliche Infrastruktur
Oberschule Oelsnitz;SN-4530945;Mittelschule;;;;;;Vorbereitung einer Zusammenarbeit mit einer FH#Zusammenarbeitmit dem Amt für Landwirtschaft und der Fachschule für Landwirtschaft Plauen#;Keine Angabe;Amt;Öffentliche Infrastruktur
Oberschule Olbernhau;SN-4230215;Mittelschule;;;;;;Jugendamt des Landratsamtes;Keine Angabe;Amt;Öffentliche Infrastruktur
Oberschule Ottendorf-Okrilla;SN-4130043;Mittelschule;;;;;;LRA Bautzen / Jugendamt;Keine Angabe;Amt;Öffentliche Infrastruktur
Oberschule Radebeul Mitte;SN-4330767;Mittelschule;;;;;;Jugendamt Meißen;Nutzung von Hilfsangeboten bei familiären Krisen;Amt;Öffentliche Infrastruktur
Oberschule Radebeul Mitte;SN-4330767;Mittelschule;;;;;;Staatl. Seminar f. Lehrerausbildg. Leipzig;Ausbildung von Lehramtsanwärtern;Amt;Öffentliche Infrastruktur
"Oberschule Radeburg Heinrich Zille """berschule Radebu"""berschule Radeburg ";SN-4330809;Mittelschule;;;;;;Jugendamt Meißen;Keine Angabe;Amt;Öffentliche Infrastruktur
Oberschule Reichenbach;SN-4130241;Mittelschule;;;;;;Jugendamt Niesky;Individuelle Schüler- und Elternbetreuung;Amt;Öffentliche Infrastruktur
Oberschule Sehmatal;SN-4231155;Mittelschule;;;;;;Jugendamt Annaberg;Keine Angabe;Amt;Öffentliche Infrastruktur
Oberschule Weißig;SN-4330866;Mittelschule;;;;;;Jugendamt Dresden;Keine Angabe;Amt;Öffentliche Infrastruktur
Park-Oberschule Zittau;SN-4131207;Mittelschule;Schulversuch Gemeinschaftsschule;;;;;Amtsgericht Zittau;Keine Angabe;Amt;Öffentliche Infrastruktur
Park-Oberschule Zittau;SN-4131207;Mittelschule;Schulversuch Gemeinschaftsschule;;;;;Amtsgericht Zittau;Keine Angabe;Amt;Öffentliche Infrastruktur
Paul-Guenther-Oberschule Geithain;SN-4430112;Mittelschule;Schulversuch Gemeinschaftsschule;;;;;Jugendamt/ASD;Abstimmung bei Auffälligkeiten und Kindswohlgefährdung;Amt;Öffentliche Infrastruktur
Paul-Guenther-Oberschule Geithain;SN-4430112;Mittelschule;Schulversuch Gemeinschaftsschule;;;;;Jugendamt/ASD;Abstimmung bei Auffälligkeiten und Kindswohlgefährdung;Amt;Öffentliche Infrastruktur
Pestalozzi-Grundschule Nossen;SN-4312047;Grundschule;;;;;;Jugendamt Meißen;Keine Angabe;Amt;Öffentliche Infrastruktur
Pestalozzi-Gymnasium Heidenau;SN-4340287;Gymnasium;;;;;;Jugendhilfe der Stadt Pirna;Keine Angabe;Amt;Öffentliche Infrastruktur
Pestalozzi-Oberschule;SN-4331070;Mittelschule;;;;;;Jugendamt Pirna;Vermittlung von Familienhelfern im Bedarfsfall , Zusammenarbeit mit dem Schulsozialarbeiter;Amt;Öffentliche Infrastruktur
Pestalozzi-Oberschule Meißen;SN-4331260;Mittelschule;;;;;;Jugendamt;Regelmäßige Fallbesprechungen zu Problemfällen und Einleitung von Hilfsmaßnahmen;Amt;Öffentliche Infrastruktur
Pestalozzi-Oberschule Oberlungwitz;SN-4531059;Mittelschule;;;;;;Jugendamt;Keine Angabe;Amt;Öffentliche Infrastruktur
Pestalozzi-Oberschule Oderwitz;SN-4131116;Mittelschule;;;;;;Jugendamt;Keine Angabe;Amt;Öffentliche Infrastruktur
Pestalozzi-Oberschule Oderwitz;SN-4131116;Mittelschule;;;;;;Gesundheitsamt;Keine Angabe;Amt;Öffentliche Infrastruktur
Philipp-Melanchthon-Gymnasium Bautzen;SN-4140026;Gymnasium;Abendgymnasium;;;;;Abt. Jugendhilfe Landkreis Bautzen#;Keine Angabe;Amt;Öffentliche Infrastruktur
Philipp-Melanchthon-Gymnasium Bautzen;SN-4140026;Gymnasium;Abendgymnasium;;;;;Abt. Jugendhilfe Landkreis Bautzen#;Keine Angabe;Amt;Öffentliche Infrastruktur
Pufendorf-Grundschule;SN-4211736;Grundschule;;;;;;Jugendamt Stollberg;Keine Angabe;Amt;Öffentliche Infrastruktur
Pumphut-Grundschule Mockrehna;SN-4410981;Grundschule;;;;;;Jugendamt Torgau;Keine Angabe;Amt;Öffentliche Infrastruktur
