Schule;ID;school_type;Partner_name;Type_grob;Type_mittel;Type_detail
Fanny-Hensel-Grundschule;BE-16074;Grundschule;Bürgerstiftung Berlin (Leseförderung;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Stiftung
Ludwig-Bechstein-Grundschule;BE-15875;Grundschule;Bürgerstiftung Steglitz-Zehlendorf;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Stiftung
Schule am Berg (Grundschule);BE-15772;Grundschule;Bürgerverein Altglienicke e.V.;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Dunant-Grundschule;BE-15666;Grundschule;CANTATE Kinder- und Jugendchor Berlin e.V.;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Carl-Kraemer-Grundschule;BE-16068;Grundschule;Carl-Kraemer-Stiftung;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Stiftung
Carl-Kraemer-Grundschule;BE-16068;Grundschule;Casablanca gemeinnützige Gesellschaft für innovative Jugendhilfe und soziale Dienste mbH;Gemeinnütziger Akteur;Gemeinnütziger Akteur;GgmbH
Heinrich-Seidel-Grundschule;BE-16732;Grundschule;Casablanca gemeinnützige Gesellschaft für innovative Jugendhilfe und soziale Dienste mbH;Gemeinnütziger Akteur;Gemeinnütziger Akteur;GgmbH
Albert-Gutzmann-Schule (Grundschule);BE-15985;Grundschule;Charité Gesundheitsakademie (Logopädie);Öffentliche Infrastruktur;Öffentliche Infrastruktur (Gesundheitswesen/Altersvorsorge);Krankenhaus
Lietzensee-Grundschule;BE-15924;Grundschule;Charlottes Boogie Stube (Tanz);Unbestimmt;Musikschule/musikalische Einrichtung;
Anne-Frank-Grundschule;BE-16018;Grundschule;Christliches Jugenddorfwerk Deutschland e.V. (CJD) für berufliche Orientierung;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Robert-Reinick-Grundschule;BE-16114;Grundschule;Christliches Jugenddorfwerk Deutschlands gemeinnütziger e.V. (CJD) (Träger für die ergänzende Betreuung);Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Elbe-Schule (Grundschule);BE-16635;Grundschule;Christoph Merian Stiftung Basel;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Stiftung
Regenbogen-Schule (Grundschule);BE-16737;Grundschule;Circus Mondeo in Oranienburg;Wirtschaftsakteur;Wirtschaftsakteur;
Wald-Grundschule;BE-16710;Grundschule;City Basket Berlin e.V.;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Carl-Kraemer-Grundschule;BE-16068;Grundschule;City VHS Volkshochschule Berlin Mitte;Partnerschule;Partnerschule;
Heinrich-Seidel-Grundschule;BE-16732;Grundschule;City Volkshochschule Berlin Mitte;Öffentliche Infrastruktur;Öffentliche Infrastruktur (Bildung/Uni/Hochschule/Forschung);
Schliemann-Schule (Grundschule);BE-16738;Grundschule;Club für Leibesübungen (CfL) 1965 Berlin e.V.;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Richard-Schule (Grundschule);BE-16744;Grundschule;Comenius-Garten in der Richardstraße 35;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Netzwerk
Otto-Wels-Grundschule;BE-15709;Grundschule;"COMENIUS-Netzwerk Learning MigrationOMENIUS-Netzwerk"""OMENIUS-Netzwerk """OMENIUS-Netzwerk Lea";Öffentliche Infrastruktur;Modell/Förderprogramm/Projekt;
Paul-Moor-Schule;BE-16364;Grundschule;COMENIUS-Schulpartnerschaften;Öffentliche Infrastruktur;Modell/Förderprogramm/Projekt;
Bouché-Schule (Grundschule);BE-15768;Grundschule;Computer Bildung Berlin (CBB);Wirtschaftsakteur;Modell/Förderprogramm/Projekt;
Charles-Dickens-Grundschule;BE-16451;Grundschule;Computer Bildung Berlin (CBB);Wirtschaftsakteur;Modell/Förderprogramm/Projekt;
Ernst-Habermann-Grundschule;BE-16783;Grundschule;Computer Bildung Berlin (CBB);Wirtschaftsakteur;Modell/Förderprogramm/Projekt;
Athene-Grundschule;BE-16535;Grundschule;Computer Bildung Berlin (CBB);Wirtschaftsakteur;Modell/Förderprogramm/Projekt;
Birger-Forell-Grundschule;BE-16788;Grundschule;Computer Bildung Berlin (CBB);Wirtschaftsakteur;Modell/Förderprogramm/Projekt;
Carl-Orff-Grundschule;BE-16787;Grundschule;Computer Bildung Berlin (CBB);Wirtschaftsakteur;Modell/Förderprogramm/Projekt;
Joan-Miró-Grundschule;BE-15894;Grundschule;Computer Bildung Berlin (CBB);Wirtschaftsakteur;Modell/Förderprogramm/Projekt;
Johann-Peter-Hebel-Grundschule;BE-16782;Grundschule;Computer Bildung Berlin (CBB);Wirtschaftsakteur;Modell/Förderprogramm/Projekt;
Judith-Kerr-Grundschule;BE-15798;Grundschule;Computer Bildung Berlin (CBB);Wirtschaftsakteur;Modell/Förderprogramm/Projekt;
Linden-Grundschule;BE-16426;Grundschule;Computer Bildung Berlin (CBB);Wirtschaftsakteur;Modell/Förderprogramm/Projekt;
Mary-Poppins-Grundschule;BE-16247;Grundschule;Computer Bildung Berlin (CBB);Wirtschaftsakteur;Modell/Förderprogramm/Projekt;
Matthias-Claudius-Schule (Grundschule);BE-16636;Grundschule;Computer Bildung Berlin (CBB);Wirtschaftsakteur;Modell/Förderprogramm/Projekt;
Münchhausen-Grundschule;BE-16416;Grundschule;Computer Bildung Berlin (CBB);Wirtschaftsakteur;Modell/Förderprogramm/Projekt;
Nord-Grundschule;BE-15591;Grundschule;Computer Bildung Berlin (CBB);Wirtschaftsakteur;Modell/Förderprogramm/Projekt;
Otfried-Preußler-Grundschule;BE-16611;Grundschule;Computer Bildung Berlin (CBB);Wirtschaftsakteur;Modell/Förderprogramm/Projekt;
Robert-Reinick-Grundschule;BE-16114;Grundschule;Computer Bildung Berlin (CBB);Wirtschaftsakteur;Modell/Förderprogramm/Projekt;
Wald-Grundschule;BE-16710;Grundschule;Computer Bildung Berlin (CBB);Wirtschaftsakteur;Modell/Förderprogramm/Projekt;
Grundschule am Fließtal;BE-16424;Grundschule;Computer Bildung Berlin (CBB);Wirtschaftsakteur;Modell/Förderprogramm/Projekt;
Hermann-Schulz-Grundschule;BE-16500;Grundschule;Computer Bildung Berlin (CBB);Wirtschaftsakteur;Modell/Förderprogramm/Projekt;
Johann-Peter-Hebel-Grundschule;BE-16782;Grundschule;D3 Mädchentreff in der Düsseldorfer Straße 3;Gemeinnütziger Akteur;Familien-/Bildungs-/Kulturzentrum;
Justus-von-Liebig-Grundschule;BE-16100;Grundschule;Das HAUS Kinder- und Familienzentrum im Weidenweg;Gemeinnütziger Akteur;Familien-/Bildungs-/Kulturzentrum;
Ruppin-Grundschule;BE-16127;Grundschule;Der kleine Zirkusladen in der Schillerstraße 70;Wirtschaftsakteur;Wirtschaftsakteur;
Kreativitätsschulzentrum Berlin gGmbH;BE-15597;Grundschule;Der PARITÄTISCHE Wohlfahrtsverband Landesverband Berlin e.V.;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Eichendorff-Grundschule;BE-16709;Grundschule;Der rote Faden GbR(Gesellschaft für familiäre Hilfen);Wirtschaftsakteur;Familien-/Bildungs-/Kulturzentrum;
Peter-Petersen-Schule (Grundschule);BE-16739;Grundschule;der seit dem 1. August 2012 auch die Ganztagsbetreuung der Schule übernommen hat. Die Lernförderung wird vom Nachbarschaftsheim Neukölln e.V. organisiert.;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Joan-Miró-Grundschule;BE-15894;Grundschule;Deutsch-Lateinamerikanische Musikakademie;Gemeinnütziger Akteur;Musikschule/musikalische Einrichtung;
Kolumbus-Grundschule;BE-16624;Grundschule;Deutsche Bank AG;Wirtschaftsakteur;Wirtschaftsakteur;
Askanier-Grundschule;BE-16221;Grundschule;Deutsche Kinder- und Jugendstiftung (DKJS);Gemeinnütziger Akteur;Gemeinnütziger Akteur;Stiftung
Johann-Strauss-Grundschule;BE-16520;Grundschule;Deutsche Krebshilfe e. V.;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Joan-Miró-Grundschule;BE-15894;Grundschule;Deutscher Basketballverein (DBV) Charlottenburg e.V.;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Johann-Peter-Hebel-Grundschule;BE-16782;Grundschule;Deutscher Basketballverein (DBV) Charlottenburg e.V.;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
BEST-Sabel Grundschule Mahlsdorf;BE-16554;Grundschule;Deutscher Fußball-Bund e.V. (DFB);Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Nahariya-Grundschule;BE-15828;Grundschule;Deutscher Golf Verband e.V.;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Erika-Mann-Grundschule;BE-16433;Grundschule;Deutscher Kinderschutzbund Landesverband Berlin e.V.;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Leo-Lionni-Grundschule;BE-16049;Grundschule;Deutscher Kinderschutzbund Landesverband Berlin e.V. (Träger Hort);Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Johann-Strauss-Grundschule;BE-16520;Grundschule;Deutsches Rotes Kreuz e.V.;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Humboldthain-Grundschule;BE-16731;Grundschule;Deutsches Symphonie-Orchester Berlin;Öffentliche Infrastruktur;Öffentliche Infrastruktur (Kultur);Orchester
Lemgo-Grundschule;BE-15916;Grundschule;Deutsches Symphonie-Orchester Berlin;Öffentliche Infrastruktur;Öffentliche Infrastruktur (Kultur);Orchester
Adolf-Glaßbrenner-Grundschule;BE-16715;Grundschule;Diakonisches Werk Berlin Stadtmitte e. V. (Ganztagsbetreuung;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Kurt-Schumacher-Grundschule;BE-15713;Grundschule;Diakonisches Werk Berlin-Brandenburg-schlesische Oberlausitz e.V. (Stadtteilmütter);Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Karl-Weise-Schule (Grundschule);BE-16229;Grundschule;Diakonisches Werk Sineon GmbH Jugend- u. Familienhilfe;Wirtschaftsakteur;Wirtschaftsakteur;
Theodor-Storm-Schule (Grundschule);BE-16634;Grundschule;Die Arbeiterwohlfahrt (AWO) Landesverband Berlin e.V. (Schulstation);Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Grundschule am Eichenwald;BE-16261;Grundschule;Die Arbeiterwohlfahrt (AWO) Landesverband Berlin e.V. (Träger für die ergänzende Betreuung);Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Sabine-Ball-Grundschule;BE-16123;Grundschule;Die Arche Christliches Kinder- und Jugendwerk e.V.;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Clara-Grunwald-Grundschule;BE-16716;Grundschule;Die Gelbe Villa Kreativ- und Bildungszentrum für Kinder und Jugendliche;Gemeinnütziger Akteur;Familien-/Bildungs-/Kulturzentrum;
Lenau-Grundschule;BE-16183;Grundschule;Die Gelbe Villa Kreativ- und Bildungszentrum für Kinder und Jugendliche;Gemeinnütziger Akteur;Familien-/Bildungs-/Kulturzentrum;
Adolf-Glaßbrenner-Grundschule;BE-16715;Grundschule;Die Gelbe Villa Kreativ- und Bildungszentrum für Kinder und Jugendliche;Gemeinnütziger Akteur;Gemeinnütziger Akteur;
Grundschule am Schäfersee;BE-16621;Grundschule;die im Sozialraum Reinickendorf Ost mit Jugendlichen;Unbestimmt;Unklar;
Ludwig-Bechstein-Grundschule;BE-15875;Grundschule;Die Obstwichtel Klaus Kuschel & Andrea Paradowski GbR;Wirtschaftsakteur;Wirtschaftsakteur;
Peter-Petersen-Schule (Grundschule);BE-16739;Grundschule;Die Schulstation der Peter-Petersen-Schule wird von dem freien Träger familie e.V. betreut;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Reinhold-Otto-Grundschule;BE-16292;Grundschule;Die THEATEREI BERLIN (Schauspielunterricht);Öffentliche Infrastruktur;Öffentliche Infrastruktur (Kultur);Theater
Renée-Sintenis-Grundschule;BE-16210;Grundschule;diverse Sportvereine;Unbestimmt;Sportverein/Programm/Initaitve;
Kurt-Tucholsky-Grundschule;BE-16010;Grundschule;diverse Sportvereine und Kitas;Unbestimmt;Öffentliche Infrastruktur (Jugend/Kinderfürsorge);kinderbetreuung
Johann-Strauss-Grundschule;BE-16520;Grundschule;Dr. Herrmann Touristik GmbH & Co. KG;Wirtschaftsakteur;Wirtschaftsakteur;
KreativitätsGrundschule Berlin Lichtenberg;BE-15956;Grundschule;Dr. Klaus Beyer GmbH;Wirtschaftsakteur;Wirtschaftsakteur;
Feldmark-Schule (Grundschule);BE-16661;Grundschule;DRK-Blutspendedienst Ost für Berlin Brandenburg und Sachsen;Öffentliche Infrastruktur;Öffentliche Infrastruktur (Gesundheitswesen/Altersvorsorge);
Wilhelm-Busch-Grundschule;BE-16365;Grundschule;EASTGATE Berlin in der Marzahner Promenade 1A;Wirtschaftsakteur;Wirtschaftsakteur;
Clara-Grunwald-Grundschule;BE-16716;Grundschule;ein Projekt der JugendKulturService GmbH;Wirtschaftsakteur;Wirtschaftsakteur;
Lenau-Grundschule;BE-16183;Grundschule;ein Projekt der JugendKulturService GmbH;Wirtschaftsakteur;Wirtschaftsakteur;
Regenbogen-Schule (Grundschule);BE-16737;Grundschule;ein Projekt der JugendKulturService GmbH;Wirtschaftsakteur;Wirtschaftsakteur;
Zille-Grundschule;BE-16193;Grundschule;"Einhorn e.V. (Träger des Projektes Gemeinsam-Schule-machen)""i"""inh";Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Falken-Grundschule;BE-16395;Grundschule;Eissportverein Berlin '08 e.V.;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
KreativitätsGrundschule Berlin Lichtenberg;BE-15956;Grundschule;ELITA Elektroanlagen Alarmmeldesysteme und Elektronik GmbH;Wirtschaftsakteur;Wirtschaftsakteur;
Joan-Miró-Grundschule;BE-15894;Grundschule;Elternverein Escándalo e.V. (Nachmittagsbetreuung durch spanischsprachige Muttersprachler);Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Galilei-Grundschule;BE-15715;Grundschule;Ergotherapiepraxis - Therapien werden in der Schule durchgeführt;Wirtschaftsakteur;Wirtschaftsakteur;
Adolf-Glaßbrenner-Grundschule;BE-16715;Grundschule;Erhard Höpfner Stiftung;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Stiftung
Karl-Weise-Schule (Grundschule);BE-16229;Grundschule;Erster Berliner Judo Club Berlin e.V. 1922;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Martin-Niemöller-Grundschule;BE-16212;Grundschule;Erzählkunst e.V. (Projekt ErzählZeit - Programme zur Sprachförderung in Kitas und Schulen);Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Heinrich-Zille-Grundschule;BE-16714;Grundschule;eTwinning (Netzwerk für Schulen in Europa);Öffentliche Infrastruktur;Modell/Förderprogramm/Projekt;
Hunsrück-Grundschule;BE-15917;Grundschule;Europa Kita in der Blücherstraße;Öffentliche Infrastruktur;Öffentliche Infrastruktur (Jugend/Kinderfürsorge);kinderbetreuung
Immanuel-Grundschule;BE-15763;Grundschule;Evangelische Allianz Berlin;Religiöse Einrichtung;Kirchliche Einrichtung;
Linden-Grundschule;BE-16426;Grundschule;Evangelische Kichengemeinde Alt-Staaken;Religiöse Einrichtung;Kirchliche Einrichtung;
Nürtingen-Grundschule;BE-16184;Grundschule;Evangelische Kindertagesstätte Kreuzberg der St. Thomas Gemeinde;Öffentliche Infrastruktur;Öffentliche Infrastruktur (Jugend/Kinderfürsorge);kinderbetreuung
Jeanne-Barez-Schule (Grundschule);BE-16301;Grundschule;Evangelische Kirchengemeinde in Französisch Buchholz;Religiöse Einrichtung;Kirchliche Einrichtung;
Zeppelin-Grundschule;BE-16222;Grundschule;Evangelische Kirchengemeinde Staaken-Gartenstadt;Religiöse Einrichtung;Kirchliche Einrichtung;
Grundschule am Fließtal;BE-16424;Grundschule;Evangelische Kita Hermsdorf in der Schloßstraße 34;Öffentliche Infrastruktur;Öffentliche Infrastruktur (Jugend/Kinderfürsorge);kinderbetreuung
Ellef-Ringnes-Grundschule;BE-16423;Grundschule;Evangelische Kita Reinickendorf Waldkirche im Stolpmünder Weg 35;Öffentliche Infrastruktur;Öffentliche Infrastruktur (Jugend/Kinderfürsorge);kinderbetreuung
Grundschule am Fuchsberg;BE-16526;Grundschule;"Evangelische Kita Schneckenhaus Parkweg 8""vangelisch"""vangelische ";Öffentliche Infrastruktur;Öffentliche Infrastruktur (Jugend/Kinderfürsorge);kinderbetreuung
Evangelische Schule Lichtenberg (Grundschule);BE-16004;Grundschule;Evangelische Paul-Gerhardt-Kirchengemeinde Lichtenberg in Berlin;Religiöse Einrichtung;Kirchliche Einrichtung;
Clara-Grunwald-Grundschule;BE-16716;Grundschule;Evangelisches Johannesstift Jugendhilfe gGmbH (Ganztagsbetreuung);Gemeinnütziger Akteur;Gemeinnütziger Akteur;gGmbH
Fanny-Hensel-Grundschule;BE-16074;Grundschule;Evangelisches Johannesstift Jugendhilfe gGmbH (offener Ganztag);Gemeinnütziger Akteur;Gemeinnütziger Akteur;gGmbH
Christian-Morgenstern-Grundschule;BE-16090;Grundschule;Evangelisches Johannesstift Jugendhilfe gGmbH (Schulsozialarbeit);Gemeinnütziger Akteur;Gemeinnütziger Akteur;gGmbH
Grundschule an der Pulvermühle;BE-16246;Grundschule;Evangelisches Johannesstift Jugendhilfe gGmbH (Träger ergänzende Betreuung);Gemeinnütziger Akteur;Gemeinnütziger Akteur;gGmbH
Grundschule am Birkenhain;BE-16113;Grundschule;Evangelisches Johannesstift Jugendhilfe gGmbH (Träger Schulsozialarbeit);Gemeinnütziger Akteur;Gemeinnütziger Akteur;gGmbH
Galilei-Grundschule;BE-15715;Grundschule;Evangelisches Johannisstift;Religiöse Einrichtung;Kirchliche Einrichtung;
Richard-Schule (Grundschule);BE-16744;Grundschule;Evangelisches Johannisstift Berlin Spandau;Religiöse Einrichtung;Kirchliche Einrichtung;
Hugo-Heimann-Schule (Grundschule);BE-16743;Grundschule;Evin e.V. (Jugendhilfe);Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Heinrich-Zille-Grundschule;BE-16714;Grundschule;eXplorarium - eLearning Werkstatt für die Schule;Öffentliche Infrastruktur;Modell/Förderprogramm/Projekt;
Ernst-Ludwig-Heim-Grundschule;BE-16317;Grundschule;Fahrbibliothek Spandau;Öffentliche Infrastruktur;Öffentliche Infrastruktur (Kultur);Bibliothek
Immanuel-Grundschule;BE-15763;Grundschule;Familie im Zentrum (FiZ);Gemeinnütziger Akteur;Familien-/Bildungs-/Kulturzentrum;
Peter-Pan-Grundschule;BE-16138;Grundschule;"Familienhaus Felix in der Zühlsdorfer Straße 16 - 18""amilienhaus Felix" in der Zühlsdor""milienhaus Felix"""amilienhaus Felix in der Zühlsdorfer Straße 16 - 18""a""mi";Öffentliche Infrastruktur;Familien-/Bildungs-/Kulturzentrum;
Adolf-Glaßbrenner-Grundschule;BE-16715;Grundschule;Familienzentrum Mehringdamm;Gemeinnütziger Akteur;Familien-/Bildungs-/Kulturzentrum;
Finow-Grundschule;BE-16112;Grundschule;FC Internationale Berlin 1980 e.V.;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Ernst-Habermann-Grundschule;BE-16783;Grundschule;Fecht-Club Grunewald Berlin e.V.;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Lenau-Grundschule;BE-16183;Grundschule;filmArche e.V.;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Spreewald-Grundschule;BE-16111;Grundschule;FIPP e.V. Kita Kurmärkische Straße 8;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Uhlenhorst-Grundschule;BE-15794;Grundschule;Folkloretanzgruppe Berlin-Köpenick e.V.;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Zürich-Schule (Grundschule);BE-16179;Grundschule;Förderung von Arbeit;Unbestimmt;Unklar;
KreativitätsGrundschule Berlin Lichtenberg;BE-15956;Grundschule;Förderverein der Kreativitätsgrundschule Berlin-Karlshorst;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Müggelsee-Schule (Grundschule);BE-15796;Grundschule;Förderverein für Montessori-Pädagogik in Berlin-Friedrichshagen e.V.;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Zürich-Schule (Grundschule);BE-16179;Grundschule;Forschung und Bildung e.V. (AFB);Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Galilei-Grundschule;BE-15715;Grundschule;Forschungsschiff;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Johann-Strauss-Grundschule;BE-16520;Grundschule;Fortbildungsinstitut für die pädagogische Praxis FiPP e.V;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Peter-Pan-Grundschule;BE-16138;Grundschule;Fortbildungsinstitut für die pädagogische Praxis FiPP e.V.;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Picasso-Grundschule;BE-16351;Grundschule;Fortbildungsinstitut für die pädagogische Praxis FiPP e.V.;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Zürich-Schule (Grundschule);BE-16179;Grundschule;Fortbildungsinstitut für die pädagogische Praxis FiPP e.V.;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Ludwig-Hoffmann-Grundschule;BE-16192;Grundschule;Fortbildungsinstitut für die pädagogische Praxis FiPP e.V. (Schulstation);Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Lietzensee-Grundschule;BE-15924;Grundschule;Foto Giebel Berlin;Wirtschaftsakteur;Wirtschaftsakteur;
KreativitätsGrundschule Berlin Treptow;BE-16797;Grundschule;Frank Pietsch - Maler und Grafiker;Unbestimmt;Unklar;
Anne-Frank-Grundschule;BE-16018;Grundschule;Frecher Spatz e.V. (Träger für verschiedene Kinder und Schülerläden;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Carl-Kraemer-Grundschule;BE-16068;Grundschule;Frecher Spatz e.V. (Träger für verschiedene Kinder und Schülerläden;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Ulmen-Grundschule;BE-16446;Grundschule;"Freie Musikschule Allegro e.V.""reie """reie Mu";Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Anne-Frank-Grundschule;BE-16018;Grundschule;Freie Universität Berlin;Öffentliche Infrastruktur;Öffentliche Infrastruktur (Bildung/Uni/Hochschule/Forschung);Universität/Hochschule/Forschungsinstitut
Kolumbus-Grundschule;BE-16624;Grundschule;Freie Universität Berlin;Öffentliche Infrastruktur;Öffentliche Infrastruktur (Bildung/Uni/Hochschule/Forschung);Universität/Hochschule/Forschungsinstitut
Lietzensee-Grundschule;BE-15924;Grundschule;Freie Universität Berlin - Projekt TuWaS! - Technik und Naturwissenschaften an Schulen;Öffentliche Infrastruktur;Öffentliche Infrastruktur (Bildung/Uni/Hochschule/Forschung);Universität/Hochschule/Forschungsinstitut
Erich-Kästner-Grundschule;BE-16698;Grundschule;Freie Universität Berlin (im Fach Naturwissenschaften);Öffentliche Infrastruktur;Öffentliche Infrastruktur (Bildung/Uni/Hochschule/Forschung);Universität/Hochschule/Forschungsinstitut
Bruno-H.-Bürgel-Grundschule;BE-15840;Grundschule;Freilandlabor Britz e.V. Förderverein zur Naturerziehung im Britzer Garten;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Friedrichshagener Schule (Grundschule);BE-15797;Grundschule;Freilandlabor Kaniswall (Naturschutzgebiet);Öffentliche Infrastruktur;Modell/Förderprogramm/Projekt;
Müggelheimer Schule (Grundschule);BE-16219;Grundschule;Freilandlabor Kaniswall (Naturschutzgebiet);Öffentliche Infrastruktur;Modell/Förderprogramm/Projekt;
Platanengrundschule;BE-16360;Grundschule;Freiwillige Feuerwehr Blankenfelde;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
BEST-Sabel Grundschule Mahlsdorf;BE-16554;Grundschule;Freizeit- und Erholungszentrum Wuhlheide (FEZ);Gemeinnütziger Akteur;Familien-/Bildungs-/Kulturzentrum;
Lemgo-Grundschule;BE-15916;Grundschule;Freizeit- und Erholungszentrum Wuhlheide (FEZ);Gemeinnütziger Akteur;Familien-/Bildungs-/Kulturzentrum;
Müggelheimer Schule (Grundschule);BE-16219;Grundschule;Freizeit- und Erholungszentrum Wuhlheide (FEZ);Gemeinnütziger Akteur;Familien-/Bildungs-/Kulturzentrum;
Reginhard-Grundschule;BE-16622;Grundschule;Freizeitzentrum Pankower Allee in der Pankower Allee 51;Öffentliche Infrastruktur;Familien-/Bildungs-/Kulturzentrum;
Galilei-Grundschule;BE-15715;Grundschule;FUN - Eltern-Schulprojekt;Öffentliche Infrastruktur;Modell/Förderprogramm/Projekt;
Müggelschlößchen-Schule (Grundschule);BE-16160;Grundschule;Fußball;Unbestimmt;Unklar;
Adolf-Glaßbrenner-Grundschule;BE-16715;Grundschule;Fußballclub Internationale Berlin 1980 e.V.;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
BEST-Sabel Grundschule Mahlsdorf;BE-16554;Grundschule;Fußballsportverein Blau-Weiss-Mahlsdorf e.V.;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Grundschule an der Wuhle;BE-16613;Grundschule;FV Rot-Weiß `90 Hellersdorf e.V.;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Reinhardswald-Grundschule;BE-16190;Grundschule;Ganztagsschulverbandes GGT e.V. und weitere;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Carl-Kraemer-Grundschule;BE-16068;Grundschule;Gartenarbeitsschulen Berlin (GAS);Partnerschule;Partnerschule;
KreativitätsGrundschule Berlin Lichtenberg;BE-15956;Grundschule;GASAG Berliner Gaswerke AG;Wirtschaftsakteur;Wirtschaftsakteur;
Falken-Grundschule;BE-16395;Grundschule;Gemeindedolmetschdienst Berlin;Religiöse Einrichtung;Kirchliche Einrichtung;
Fanny-Hensel-Grundschule;BE-16074;Grundschule;Gemeindedolmetschdienst Berlin;Religiöse Einrichtung;Kirchliche Einrichtung;
Otto-Wels-Grundschule;BE-15709;Grundschule;Gemeindedolmetschdienst Berlin;Religiöse Einrichtung;Kirchliche Einrichtung;
Zürich-Schule (Grundschule);BE-16179;Grundschule;Gemeindedolmetschdienst Berlin;Religiöse Einrichtung;Kirchliche Einrichtung;
Bernd-Ryke-Grundschule;BE-16117;Grundschule;Gemeinwesenverein Haselhorst e.V.;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Grundschule an der Pulvermühle;BE-16246;Grundschule;Gemeinwesenverein Haselhorst e.V.;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Spreewald-Grundschule;BE-16111;Grundschule;Gertrud-Kolmar-Bibliothek;Öffentliche Infrastruktur;Öffentliche Infrastruktur (Kultur);Bibliothek
Johann-Strauss-Grundschule;BE-16520;Grundschule;Geschichtsprojekt der Gesellschaft für Arbeitsförderung mbH;Wirtschaftsakteur;Modell/Förderprogramm/Projekt;
Astrid-Lindgren-Grundschule;BE-16118;Grundschule;Geschwister Scholl Haus;Gemeinnütziger Akteur;Familien-/Bildungs-/Kulturzentrum;
Georg-Zacharias-Grundschule;BE-16576;Grundschule;Gesellschaft für Kinderbetreuung und Schule e.V.;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Kreativitätsschulzentrum Berlin gGmbH;BE-15597;Grundschule;Gesellschaft für musische Förderung e.V.;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
