Schule;ID;school_type;Partner_name;Type_grob;Type_mittel;Type_detail
OSZ Handel 1;BE-16262;Berufliches Gymnasium;SPI Consult GmbH;Wirtschaftsakteur;Wirtschaftsakteur;
OSZ Informations- und Medizintechnik;BE-15754;Berufliches Gymnasium;Sun Microsystems (Educational Services);Wirtschaftsakteur;Wirtschaftsakteur (Bildung);
OSZ Informations- und Medizintechnik;BE-15754;Berufliches Gymnasium;Teilnahme am Leonardo da Vinci-Programm der Europäischen Union (finanziert praxisorientierte Projekte im Bereich der beruflichen Bildung);Öffentliche Infrastruktur;Modell/Förderprogramm/Projekt;
OSZ Informations- und Medizintechnik;BE-15754;Berufliches Gymnasium;Telekom AG;Wirtschaftsakteur;Wirtschaftsakteur;
Louise-Schroeder-Schule (OSZ Bürowirtschaft und Verwaltung);BE-15687;Berufliches Gymnasium;Wannseeforum (aktuelle kulturelle und politische Jugendbildung);Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
OSZ Handel 1;BE-16262;Berufliches Gymnasium;Werk in Stuttgart-Untertürkheim;Wirtschaftsakteur;Wirtschaftsakteur;
DRK-Schule für soziale Berufe Berlin gGmbH;BE-15911;Berufsfachschule;20 Kooperationspartner im Kinderpflege und Behindertenbereich;Unbestimmt;Unklar;
DRK-Schule für soziale Berufe Berlin gGmbH;BE-15911;Berufsfachschule;70 Kooperationspartner im ambulanten;Unbestimmt;Unklar;
Staatliche Ballettschule Berlin und Schule für Artistik;BE-16106;Berufsfachschule;Anhaltisches Theater Dessau/Gregor Seyffert Compagnie Dessau;Öffentliche Infrastruktur;Öffentliche Infrastruktur (Kultur);Theater
Staatliche Ballettschule Berlin und Schule für Artistik;BE-16106;Berufsfachschule;Ausbildungsprojekt Nara (Japan);Unbestimmt;Modell/Förderprogramm/Projekt;
Staatliche Ballettschule Berlin und Schule für Artistik;BE-16106;Berufsfachschule;Ausbildungsprojekt Rio de Janeiro (Brasilien);Unbestimmt;Modell/Förderprogramm/Projekt;
August-Sander-Schule;BE-16650;Berufsfachschule;Berlin Brandenburg Institut für Sozialforschung und sozialwissenschaftliche Praxis (BIS) e.V.;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
Euro Akademie;BE-16834;Berufsfachschule;Businet - Network for the development of Business education programmes;Verband / Kammer / Innung / Gewerkschaft;Verband / Kammer / Innung;
Staatliche Ballettschule Berlin und Schule für Artistik;BE-16106;Berufsfachschule;Chamäleon Musik Theater Varieté;Öffentliche Infrastruktur;Öffentliche Infrastruktur (Kultur);Theater
J.-A.-Zeune-Schule für Blinde und Berufsfachschule Dr. Silex;BE-15684;Berufsfachschule;Contact - Die Praxis im Kiez e.V. (Jugend- und Familienhilfe);Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
August-Sander-Schule;BE-16650;Berufsfachschule;Deutsche Bahn AG;Wirtschaftsakteur;Wirtschaftsakteur;
BEST-Sabel Gemeinützige Bildungsgesellschaft;BE-16724;Berufsfachschule;diverse Berliner Praktikums- und Kooperationsbetriebe;Unbestimmt;Unklar;
Staatliche Ballettschule Berlin und Schule für Artistik;BE-16106;Berufsfachschule;Dorint Sofitel Schweizerhof Berlin;Wirtschaftsakteur;Wirtschaftsakteur;
Grone-Bildungszentren Berlin GmbH - gemeinnützig -;BE-16029;Berufsfachschule;Einrichtungen der Altenhilfe;Unbestimmt;Unklar;
Plan B Altenpflegeschule;BE-16040;Berufsfachschule;Einrichtungen der stationären und ambulanten Altenpflege;Unbestimmt;Unklar;
Grone-Bildungszentren Berlin GmbH - gemeinnützig -;BE-16029;Berufsfachschule;Einrichtungen zur Behindertenbetreuung in ganz Berlin;Unbestimmt;Unklar;
Euro Akademie;BE-16834;Berufsfachschule;European Schools for Higher Education in Administration and Management;Öffentliche Infrastruktur;Öffentliche Infrastruktur (Bildung/Uni/Hochschule/Forschung);Universität/Hochschule/Forschungsinstitut
Staatliche Ballettschule Berlin und Schule für Artistik;BE-16106;Berufsfachschule;Friedrichstadtpalast Berlin;Öffentliche Infrastruktur;Öffentliche Infrastruktur (Kultur);Theater
August-Sander-Schule;BE-16650;Berufsfachschule;Gesellschaft für berufsbildende Maßnahmen (GFBM) e.V.;Gemeinnütziger Akteur;Gemeinnütziger Akteur;Verein
BEST-Sabel Berufsfachschule für Design;BE-16452;Berufsfachschule;Grafik & Mode;Wirtschaftsakteur;Wirtschaftsakteur;
Staatliche Ballettschule Berlin und Schule für Artistik;BE-16106;Berufsfachschule;"Hochschule für Schauspielkunst Ernst Busch Berlin""ochschu"""ochschule";Öffentliche Infrastruktur;Öffentliche Infrastruktur (Bildung/Uni/Hochschule/Forschung);Universität/Hochschule/Forschungsinstitut
J.-A.-Zeune-Schule für Blinde und Berufsfachschule Dr. Silex;BE-15684;Berufsfachschule;Humboldt-Universität zu Berlin (Institut für Rehabilitationswissenschaften);Öffentliche Infrastruktur;Öffentliche Infrastruktur (Bildung/Uni/Hochschule/Forschung);Universität/Hochschule/Forschungsinstitut
Campus Berufsbildung e.V.;BE-16047;Berufsfachschule;Kinder- und Jugendbetreuung;Unbestimmt;Familien-/Bildungs-/Kulturzentrum;
Grone-Bildungszentren Berlin GmbH - gemeinnützig -;BE-16029;Berufsfachschule;;Öffentliche Infrastruktur;Öffentliche Infrastruktur (Jugend/Kinderfürsorge);kinderbetreuung
Campus Berufsbildung e.V.;BE-16047;Berufsfachschule;Kooperationen mit diversen Praktikumsbetrieben im Bereich der Altenpflege;Wirtschaftsakteur;Wirtschaftsakteur;
Rackow-Schulen Berlin;BE-16588;Berufsfachschule;LOKAHI LOFT exklusives Fitnesssstudio;Wirtschaftsakteur;Wirtschaftsakteur;
Euro Akademie;BE-16834;Berufsfachschule;New College Durham;Öffentliche Infrastruktur;Öffentliche Infrastruktur (Bildung/Uni/Hochschule/Forschung);Universität/Hochschule/Forschungsinstitut
Staatliche Ballettschule Berlin und Schule für Artistik;BE-16106;Berufsfachschule;Palace Hotel Berlin;Wirtschaftsakteur;Wirtschaftsakteur;
Campus Berufsbildung e.V.;BE-16047;Berufsfachschule;Paritätischer Wohlfahrtsverband;Unbestimmt;Unklar;
BEST-Sabel Berufsfachschule für Design;BE-16452;Berufsfachschule;Praktikumsbetriebe aus den Bereichen Foto;Wirtschaftsakteur;Wirtschaftsakteur;
Euro Akademie;BE-16834;Berufsfachschule;Prüfungszentrum der spanischen Handelskammer Cámara Oficial de Comercio e Industria de Madrid;Öffentliche Infrastruktur;Öffentliche Infrastruktur (Amt);
Grone-Bildungszentren Berlin GmbH - gemeinnützig -;BE-16029;Berufsfachschule;Schulen;Unbestimmt;Unklar;
August-Sander-Schule;BE-16650;Berufsfachschule;Sinneswandel gGmbH (Förderung gehörloser und hörgeschädigter Menschen);Gemeinnütziger Akteur;Gemeinnütziger Akteur;gGmbH
Staatliche Ballettschule Berlin und Schule für Artistik;BE-16106;Berufsfachschule;Staatsoper Unter den Linden/Staatsballett;Öffentliche Infrastruktur;Öffentliche Infrastruktur (Kultur);Oper
DRK-Schule für soziale Berufe Berlin gGmbH;BE-15911;Berufsfachschule;stationären und teilstätionären Bereich der Altenpflege;Unbestimmt;Unklar;
BEST-Sabel Berufsfachschule für Design;BE-16452;Berufsfachschule;Teilnahme am Leonardo da Vinci-Programm der Europäischen Union (finanziert praxisorientierte Projekte im Bereich der beruflichen Bildung);Öffentliche Infrastruktur;Modell/Förderprogramm/Projekt;
